City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Bluff,NZ,2021-11-28 01:13:06,-46.6,168.3333,54.39,55,1,5.68,clear sky
204,Yangambi,CD,2021-11-28 01:13:07,0.8102,24.4336,68.94,98,100,2.01,overcast clouds
205,Bilibino,RU,2021-11-28 01:13:07,68.0546,166.4372,-24.03,97,62,4.21,broken clouds
206,Jinan,CN,2021-11-28 01:13:08,36.6683,116.9972,49.62,64,100,4.85,overcast clouds
207,Asfi,MA,2021-11-28 01:13:08,32.2994,-9.2372,58.69,68,89,3.83,overcast clouds
208,Kayerkan,RU,2021-11-28 01:13:08,69.3497,87.7602,-3.78,95,100,5.57,overcast clouds
209,Monchegorsk,RU,2021-11-28 01:13:09,67.9397,32.8739,1.8,93,86,3.6,overcast clouds
210,Ocos,GT,2021-11-28 01:13:09,14.5094,-92.1933,78.98,74,95,1.52,overcast clouds
211,Geraldton,AU,2021-11-28 01:13:09,-28.7667,114.6,88.21,18,0,5.75,clear sky
212,Guerrero Negro,MX,2021-11-28 01:13:10,27.9769,-114.0611,67.66,63,0,11.9,clear sky
213,San Antonio,US,2021-11-28 01:11:08,29.4241,-98.4936,54.05,89,90,0.0,overcast clouds
214,Abapo,BO,2021-11-28 01:13:10,-18.8333,-63.4667,72.01,68,8,3.42,clear sky
215,Zhigalovo,RU,2021-11-28 01:13:11,54.8097,105.1578,1.31,96,100,2.93,overcast clouds
216,Khartoum,SD,2021-11-28 01:09:55,15.5518,32.5324,81.64,38,0,13.38,clear sky
217,Necochea,AR,2021-11-28 01:13:11,-38.5473,-58.7368,59.31,95,100,12.75,light rain
218,Noumea,NC,2021-11-28 01:13:12,-22.2763,166.4572,78.78,79,100,15.75,overcast clouds
219,Honiara,SB,2021-11-28 01:13:12,-9.4333,159.95,86.31,69,98,5.37,overcast clouds
220,Srednekolymsk,RU,2021-11-28 01:13:12,67.45,153.6833,-38.4,100,39,2.51,scattered clouds
221,Chingirlau,KZ,2021-11-28 01:09:34,51.095,54.0814,21.69,79,89,10.69,overcast clouds
222,Bondo,CD,2021-11-28 01:13:13,3.8146,23.6866,70.47,70,91,0.74,overcast clouds
223,Reitz,ZA,2021-11-28 01:13:13,-27.8014,28.4273,52.65,96,100,8.32,overcast clouds
224,Brae,GB,2021-11-28 01:13:14,60.3964,-1.353,31.91,61,100,16.55,overcast clouds
225,Lufilufi,WS,2021-11-28 01:13:14,-13.8745,-171.5986,82.51,79,88,14.94,overcast clouds
226,Sur,OM,2021-11-28 01:13:14,22.5667,59.5289,74.39,50,34,5.03,scattered clouds
227,Hanyang,CN,2021-11-28 01:13:15,32.1371,105.5126,48.27,81,100,1.39,overcast clouds
228,Molo,KE,2021-11-28 01:13:15,-0.2479,35.7374,50.09,98,41,3.74,scattered clouds
229,Buritizeiro,BR,2021-11-28 01:13:15,-17.3511,-44.9622,66.79,98,18,2.66,few clouds
230,Santa Barbara,US,2021-11-28 01:13:16,34.7333,-120.0343,64.96,23,1,5.75,clear sky
231,Nanortalik,GL,2021-11-28 01:14:17,60.1432,-45.2371,42.93,97,100,16.35,light rain
232,Sao Francisco,BR,2021-11-28 01:14:17,-15.9486,-44.8644,69.58,97,98,4.29,light rain
233,Tarpon Springs,US,2021-11-28 01:12:35,28.1461,-82.7568,60.75,58,1,3.44,clear sky
234,Comodoro Rivadavia,AR,2021-11-28 01:14:18,-45.8667,-67.5,58.86,36,0,9.22,clear sky
235,Japura,ID,2021-11-28 01:14:18,-0.3167,102.35,79.36,80,99,1.68,overcast clouds
236,Najran,SA,2021-11-28 01:14:18,17.4924,44.1277,59.83,48,0,1.72,clear sky
237,Lasa,IT,2021-11-28 01:14:19,46.6166,10.7002,32.74,96,100,3.62,light snow
238,Darnah,LY,2021-11-28 01:14:19,32.767,22.6367,69.4,54,57,11.99,broken clouds
239,Vangaindrano,MG,2021-11-28 01:14:20,-23.35,47.6,67.62,64,99,11.1,overcast clouds
240,Cabo San Lucas,MX,2021-11-28 01:14:20,22.8909,-109.9124,72.7,88,90,3.44,overcast clouds
241,Rio Gallegos,AR,2021-11-28 01:14:20,-51.6226,-69.2181,49.3,68,100,24.9,overcast clouds
242,Sisimiut,GL,2021-11-28 01:14:21,66.9395,-53.6735,26.46,94,100,10.13,snow
243,Qaqortoq,GL,2021-11-28 01:14:21,60.7167,-46.0333,39.7,100,100,6.04,moderate rain
244,Vidim,RU,2021-11-28 01:14:21,56.4088,103.1106,11.35,89,100,10.65,light snow
245,Tiksi,RU,2021-11-28 01:10:52,71.6872,128.8694,-7.64,96,100,6.82,overcast clouds
246,Murwillumbah,AU,2021-11-28 01:14:22,-28.3167,153.4,75.22,64,90,18.41,overcast clouds
247,Pangnirtung,CA,2021-11-28 01:14:23,66.1451,-65.7125,16.48,77,100,7.27,overcast clouds
248,Krasnokholm,RU,2021-11-28 01:14:23,51.5979,54.1567,14.27,87,80,5.68,broken clouds
249,Sivaki,RU,2021-11-28 01:14:23,52.6333,126.75,14.9,90,100,6.31,overcast clouds
250,Cherskiy,RU,2021-11-28 01:14:24,68.75,161.3,-25.04,92,22,3.27,few clouds
251,Hasaki,JP,2021-11-28 01:14:24,35.7333,140.8333,48.6,47,1,14.32,clear sky
252,Vila,PT,2021-11-28 01:14:24,42.0304,-8.1588,29.28,91,10,6.93,clear sky
253,Panguna,PG,2021-11-28 01:14:25,-6.3164,155.4848,80.26,65,100,3.27,light rain
254,Itatiaia,BR,2021-11-28 01:14:25,-22.4961,-44.5633,68.18,94,52,2.28,broken clouds
255,Samarai,PG,2021-11-28 01:14:25,-10.6167,150.6667,83.77,72,100,6.62,overcast clouds
256,Chernyshevskiy,RU,2021-11-28 01:13:54,63.0128,112.4714,-5.12,98,99,7.27,overcast clouds
257,Druzhnaya Gorka,RU,2021-11-28 01:14:26,59.2761,30.1425,27.68,91,100,11.9,light snow
258,Westerland,DE,2021-11-28 01:14:27,54.9079,8.3033,35.62,93,40,8.05,scattered clouds
